coord,interval,distance,elevation
"(48.164375, 11.454415)",0.0,0.0,519
"(48.164431, 11.454286)",11.418612,11.418612,519
"(48.164477, 11.454189)",8.829642,20.248254,519
"(48.164529, 11.454121)",7.67472,27.922974,520
"(48.164595, 11.454082)",7.890534,35.813508,521
"(48.164866, 11.453993)",30.857005,66.670513,521
"(48.165103, 11.453922)",26.88172,93.552233,521
"(48.165141, 11.453906)",4.39011,97.942343,521
"(48.16519, 11.453877)",5.859352,103.801695,521
"(48.165202, 11.453918)",3.3216,107.123295,521
"(48.165219, 11.453948)",2.920367,110.043662,521
"(48.165246, 11.453986)",4.118964,114.162626,521
"(48.165284, 11.454017)",4.811766,118.97439200000001,521
"(48.165324, 11.454038)",4.713931,123.68832300000001,521
"(48.165363, 11.454052)",4.46043,128.148753,521
"(48.165882, 11.454223)",59.103902,187.252655,519
"(48.165969, 11.454312)",11.714569,198.96722400000002,519
"(48.166015, 11.4544)",8.294351,207.26157500000002,519
"(48.166053, 11.454515)",9.52087,216.78244500000002,519
"(48.166113, 11.454735)",17.632413,234.41485800000004,519
"(48.166169, 11.454927)",15.545862,249.96072000000004,519
"(48.166237, 11.455096)",14.641966,264.60268600000006,519
"(48.166332, 11.455232)",14.609629,279.21231500000005,519
"(48.166448, 11.455326)",14.66614,293.87845500000003,519
"(48.166577, 11.455389)",15.090173,308.968628,519
"(48.166711, 11.455365)",15.010289,323.978917,516
"(48.16684, 11.455305)",15.022729,339.00164600000005,516
"(48.166954, 11.455195)",15.078677,354.0803230000001,516
"(48.167044, 11.455044)",15.022861,369.10318400000006,516
"(48.167104, 11.454863)",14.994235,384.09741900000006,516
"(48.167137, 11.454667)",14.9961,399.0935190000001,516
"(48.16717, 11.454473)",14.852281,413.9458000000001,516
"(48.167197, 11.454361)",8.834623,422.7804230000001,516
"(48.167245, 11.45421)",12.408919,435.1893420000001,516
"(48.167329, 11.453977)",19.648225,454.83756700000015,518
"(48.167482, 11.453703)",26.509483,481.34705000000014,518
"(48.168209, 11.452604)",114.826651,596.1737010000002,518
"(48.168418, 11.452307)",32.028095,628.2017960000002,518
"(48.169895, 11.45007)",233.505995,861.7077910000002,515
"(48.171055, 11.448313)",183.3936,1045.1013910000001,515
"(48.17185, 11.447084)",127.003185,1172.1045760000002,518
"(48.172334, 11.446301)",79.191805,1251.296381,518
"(48.173256, 11.444782)",152.353796,1403.650177,516
"(48.17407, 11.443531)",129.643638,1533.293815,516
"(48.176298, 11.440136)",353.299989,1886.593804,514
"(48.176556, 11.439758)",40.118767,1926.712571,514
"(48.177768, 11.437926)",191.403889,2118.11646,513
"(48.183034, 11.429972)",831.294517,2949.4109770000005,510
"(48.183824, 11.428769)",125.220317,3074.6312940000003,509
"(48.184234, 11.428157)",64.338502,3138.9697960000003,509
"(48.185006, 11.426956)",123.715341,3262.6851370000004,511
"(48.18912, 11.420734)",649.819234,3912.5043710000004,505
