coord,interval,distance,elevation
"(48.399736, 10.595665)",0.0,0.0,459
"(48.399687, 10.595935)",20.670007,20.670007,473
"(48.399688, 10.596181)",18.166582,38.836589,473
"(48.399733, 10.596508)",24.661062,63.497651,473
"(48.399867, 10.596511)",14.905971,78.403622,473
"(48.399893, 10.596511)",2.891884,81.295506,473
"(48.40002, 10.596535)",14.236489,95.53199500000001,460
"(48.400146, 10.596566)",14.200252,109.73224700000002,460
"(48.400267, 10.596617)",13.9754,123.70764700000001,460
"(48.400416, 10.596663)",16.917267,140.62491400000002,460
"(48.400471, 10.596678)",6.216921,146.84183500000003,460
"(48.400661, 10.596701)",21.201138,168.04297300000002,460
"(48.400905, 10.596719)",27.171748,195.21472100000003,460
"(48.400961, 10.596717)",6.230424,201.44514500000002,460
"(48.401056, 10.596713)",10.570626,212.01577100000003,460
"(48.40112, 10.59671)",7.12193,219.13770100000002,460
"(48.401292, 10.596704)",19.136054,238.27375500000002,460
"(48.40148, 10.596688)",20.943897,259.21765200000004,460
"(48.401517, 10.596684)",4.12596,263.34361200000006,460
"(48.401644, 10.596674)",14.145028,277.4886400000001,460
"(48.401909, 10.59666)",29.493094,306.9817340000001,460
"(48.402104, 10.596682)",21.749884,328.7316180000001,453
"(48.402339, 10.596768)",26.898571,355.6301890000001,453
"(48.402538, 10.596922)",24.884374,380.51456300000007,453
"(48.402731, 10.597113)",25.68535,406.19991300000004,453
"(48.402969, 10.597385)",33.229003,439.428916,453
"(48.403011, 10.597433)",5.863936,445.29285200000004,453
"(48.403214, 10.597665)",28.342331,473.63518300000004,453
"(48.403257, 10.597718)",6.179864,479.81504700000005,453
"(48.403304, 10.597777)",6.805032,486.62007900000003,453
"(48.403626, 10.598182)",46.658875,533.278954,451
"(48.4037, 10.598275)",10.719303,543.998257,451
"(48.404204, 10.598901)",72.657879,616.656136,447
"(48.404726, 10.599557)",75.612777,692.2689129999999,447
"(48.405062, 10.599909)",45.521614,737.7905269999999,447
"(48.40525, 10.600106)",25.472392,763.2629189999999,447
"(48.405375, 10.600252)",17.593135,780.8560539999999,447
"(48.405515, 10.600426)",20.187725,801.0437789999999,447
