OBJECTID,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84,coord,location_dict,address,road,UIDENTSTLAE,STRZUSTAND,IstSonstige,lane,coord_interp,dist_interp,dist_interp_up
61122,9,7,72,111,2016,1,14,5,3,3,7,0,0,1,0,0,1,627869.9135,5364057.4211,10.728170185,48.416685468,"(48.416685468, 10.728170185)","{'place_id': 179548866, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 327667397, 'lat': '48.416677137805365', 'lon': '10.728170083531053', 'display_name': 'A 8, Adelsried, Landkreis Augsburg, Bayern, 86477, Deutschland', 'address': {'road': 'A 8', 'village': 'Adelsried', 'county': 'Landkreis Augsburg', 'state': 'Bayern', 'postcode': '86477', 'country': 'Deutschland', 'country_code': 'de'}, 'boundingbox': ['48.4166728', '48.4168325', '10.7264738', '10.7355252']}","A 8, Adelsried, Landkreis Augsburg, Bayern, 86477, Deutschland",A 8,0,0,0,up,[48.41669366 10.72683004],11341.84921258932,11341.84921258932
61289,9,7,71,122,2016,1,9,2,3,8,1,0,0,1,0,0,0,649129.6598,5362664.0171,11.014830174,48.399484756,"(48.399484756, 11.014830174)","{'place_id': 179625445, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 327495113, 'lat': '48.39946696107913', 'lon': '11.014828040111352', 'display_name': 'A 8, Sophienhof, Bitzenhofen, Dasing, Landkreis Aichach-Friedberg, Bayern, 86453, Deutschland', 'address': {'road': 'A 8', 'hamlet': 'Sophienhof', 'village': 'Bitzenhofen', 'municipality': 'Dasing', 'county': 'Landkreis Aichach-Friedberg', 'state': 'Bayern', 'postcode': '86453', 'country': 'Deutschland', 'country_code': 'de'}, 'boundingbox': ['48.3959071', '48.4010591', '10.9924061', '11.0555759']}","A 8, Sophienhof, Bitzenhofen, Dasing, Landkreis Aichach-Friedberg, Bayern, 86453, Deutschland",A 8,0,1,0,up,[48.39954036 11.01421747],32740.392480261948,32740.392480261948
61788,9,7,72,223,2016,1,8,7,3,9,1,0,0,1,0,0,0,619643.833,5363167.8345,10.616788099,48.410301232,"(48.410301232, 10.616788099)","{'place_id': 170982864, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 289187276, 'lat': '48.41026688074205', 'lon': '10.616790592052688', 'display_name': 'A 8, Zusmarshausen, Landkreis Augsburg, Bayern, 86441, Deutschland', 'address': {'road': 'A 8', 'village': 'Zusmarshausen', 'county': 'Landkreis Augsburg', 'state': 'Bayern', 'postcode': '86441', 'country': 'Deutschland', 'country_code': 'de'}, 'boundingbox': ['48.4094857', '48.4103677', '10.612932', '10.6338294']}","A 8, Zusmarshausen, Landkreis Augsburg, Bayern, 86441, Deutschland",A 8,0,2,0,up,[48.41027395 10.61688824],2853.6666151614627,2853.6666151614627
61823,9,1,74,146,2016,1,9,5,3,3,6,0,0,1,0,0,0,666579.4255,5351049.5997,11.245813877,48.290706047,"(48.290706047, 11.245813877)","{'place_id': 108867869, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 28802113, 'lat': '48.29075705703015', 'lon': '11.245829414853427', 'display_name': 'A 8, Ziegelstadel, Wiedenzhausen, Sulzemoos, Landkreis Dachau, Bayern, 85259, Deutschland', 'address': {'road': 'A 8', 'hamlet': 'Ziegelstadel', 'village': 'Wiedenzhausen', 'county': 'Landkreis Dachau', 'state': 'Bayern', 'postcode': '85259', 'country': 'Deutschland', 'country_code': 'de'}, 'boundingbox': ['48.287303', '48.2952793', '11.2306553', '11.2558719']}","A 8, Ziegelstadel, Wiedenzhausen, Sulzemoos, Landkreis Dachau, Bayern, 85259, Deutschland",A 8,0,0,0,down,[48.28990698 11.24861949],21222.813423856554,54449.37221886727
61873,9,1,74,113,2016,1,17,5,3,2,6,2,0,1,0,0,0,673029.5659,5345896.691,11.330592746,48.242654526,"(48.242654526, 11.330592746)","{'place_id': 179804010, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 327464677, 'lat': '48.24262210653398', 'lon': '11.33057693264289', 'display_name': 'A 8, Palsweis, Bergkirchen, Landkreis Dachau, Bayern, 85232, Deutschland', 'address': {'road': 'A 8', 'village': 'Palsweis', 'county': 'Landkreis Dachau', 'state': 'Bayern', 'postcode': '85232', 'country': 'Deutschland', 'country_code': 'de'}, 'boundingbox': ['48.2375667', '48.2544385', '11.3063647', '11.3408042']}","A 8, Palsweis, Bergkirchen, Landkreis Dachau, Bayern, 85232, Deutschland",A 8,0,0,0,up,[48.24452861 11.32666826],62798.36530777312,62798.36530777312
61946,9,7,72,223,2016,1,11,3,2,9,1,0,0,1,0,0,0,621326.5326,5363186.5528,10.639522789,48.410147865,"(48.410147865, 10.639522789)","{'place_id': 189169469, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 376197235, 'lat': '48.41013889819632', 'lon': '10.639524105276822', 'display_name': 'A 8, Zusmarshausen, Landkreis Augsburg, Bayern, 86441, Deutschland', 'address': {'road': 'A 8', 'village': 'Zusmarshausen', 'county': 'Landkreis Augsburg', 'state': 'Bayern', 'postcode': '86441', 'country': 'Deutschland', 'country_code': 'de'}, 'boundingbox': ['48.4101342', '48.4106328', '10.6394921', '10.6429444']}","A 8, Zusmarshausen, Landkreis Augsburg, Bayern, 86441, Deutschland",A 8,0,0,0,up,[48.40997895 10.63845522],4545.522348366539,4545.522348366539
61991,9,7,71,122,2016,1,16,1,3,8,1,0,0,1,0,0,0,651073.4586,5362358.3173,11.040964837,48.3962735,"(48.3962735, 11.040964837)","{'place_id': 171593475, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 288973413, 'lat': '48.39630211529551', 'lon': '11.040963676074904', 'display_name': 'A 8, Sophienhof, Bitzenhofen, Dasing, Landkreis Aichach-Friedberg, Bayern, 86453, Deutschland', 'address': {'road': 'A 8', 'hamlet': 'Sophienhof', 'village': 'Bitzenhofen', 'municipality': 'Dasing', 'county': 'Landkreis Aichach-Friedberg', 'state': 'Bayern', 'postcode': '86453', 'country': 'Deutschland', 'country_code': 'de'}, 'boundingbox': ['48.3960534', '48.4039031', '10.9564457', '11.0556046']}","A 8, Sophienhof, Bitzenhofen, Dasing, Landkreis Aichach-Friedberg, Bayern, 86453, Deutschland",A 8,0,2,0,down,[48.3960042  11.03408694],40941.11522829908,34737.72734201963
62041,9,1,74,113,2016,1,9,2,3,2,6,0,0,1,0,0,0,673318.0388,5345699.5019,11.334394239,48.240803132,"(48.240803132, 11.334394239)","{'place_id': 179804010, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 327464677, 'lat': '48.24076839120405', 'lon': '11.334377293359617', 'display_name': 'A 8, Palsweis, Bergkirchen, Landkreis Dachau, Bayern, 85232, Deutschland', 'address': {'road': 'A 8', 'village': 'Palsweis', 'county': 'Landkreis Dachau', 'state': 'Bayern', 'postcode': '85232', 'country': 'Deutschland', 'country_code': 'de'}, 'boundingbox': ['48.2375667', '48.2544385', '11.3063647', '11.3408042']}","A 8, Palsweis, Bergkirchen, Landkreis Dachau, Bayern, 85232, Deutschland",A 8,0,1,0,up,[48.23663441 11.34266064],63147.186065389535,63147.186065389535
62226,9,1,79,142,2016,1,9,2,3,2,6,0,0,1,0,0,0,675232.2093,5344199.2102,11.359532836,48.226790605,"(48.226790605, 11.359532836)","{'place_id': 180097007, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 327462613, 'lat': '48.22676409837734', 'lon': '11.359517198578782', 'display_name': 'A 8, Graßlfing, Olching, Landkreis Fürstenfeldbruck, Bayern, 82140, Deutschland', 'address': {'road': 'A 8', 'suburb': 'Graßlfing', 'town': 'Olching', 'county': 'Landkreis Fürstenfeldbruck', 'state': 'Bayern', 'postcode': '82140', 'country': 'Deutschland', 'country_code': 'de'}, 'boundingbox': ['48.2199694', '48.2294326', '11.3549891', '11.3710404']}","A 8, Graßlfing, Olching, Landkreis Fürstenfeldbruck, Bayern, 82140, Deutschland",A 8,0,1,1,up,[48.22608521 11.36066854],65576.88220310517,65576.88220310517
62292,9,7,71,122,2016,1,18,1,3,3,6,2,0,1,0,0,0,653212.1051,5361891.7706,11.069667747,48.391562917,"(48.391562917, 11.069667747)","{'place_id': 106960759, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 27127129, 'lat': '48.391561428545394', 'lon': '11.06966683373728', 'display_name': 'A 8, Lindl, Dasing, Landkreis Aichach-Friedberg, Bayern, 86453, Deutschland', 'address': {'road': 'A 8', 'village': 'Lindl', 'municipality': 'Dasing', 'county': 'Landkreis Aichach-Friedberg', 'state': 'Bayern', 'postcode': '86453', 'country': 'Deutschland', 'country_code': 'de'}, 'boundingbox': ['48.3913032', '48.3916325', '11.069551', '11.0700877']}","A 8, Lindl, Dasing, Landkreis Aichach-Friedberg, Bayern, 86453, Deutschland",A 8,0,1,0,up,[48.39137398 11.0699725 ],37000.751911269384,37000.751911269384
